Top 5 Campaigns by Click-Through Rate (CTR)
campaign_id,campaign_name,impressions,clicks,ctr_percentage
122,Campaign_122,332,24,7.23
552,Campaign_552,796,56,7.04
306,Campaign_306,601,41,6.82
907,Campaign_907,1126,74,6.57
797,Campaign_797,688,44,6.40


Advertisers with Highest Spend in the Last 30 Days
advertiser_id,advertiser_name,total_spent
58,Advertiser_60,174821.90
92,Advertiser_91,173966.88
32,Advertiser_37,169860.97
41,Advertiser_45,168775.31
88,Advertiser_88,167579.54
31,Advertiser_36,157203.94
49,Advertiser_52,156350.72
15,Advertiser_21,151251.56
85,Advertiser_85,148963.06
4,Advertiser_11,148294.38
63,Advertiser_65,147027.61
19,Advertiser_25,140640.82
66,Advertiser_68,139073.23
29,Advertiser_34,137574.23
90,Advertiser_9,136633.69
57,Advertiser_6,135516.69
25,Advertiser_30,134036.57
64,Advertiser_66,133609.18
51,Advertiser_54,133166.90
99,Advertiser_98,132621.12
38,Advertiser_42,131589.83
10,Advertiser_17,127773.07
48,Advertiser_51,127345.46
9,Advertiser_16,126241.85
7,Advertiser_14,124807.11
96,Advertiser_95,123742.31
73,Advertiser_74,119857.99
36,Advertiser_40,119686.65
69,Advertiser_70,119350.52
45,Advertiser_49,118869.23
43,Advertiser_47,117442.86
65,Advertiser_67,117386.00
8,Advertiser_15,116796.39
84,Advertiser_84,115593.87
42,Advertiser_46,114944.55
89,Advertiser_89,114285.17
55,Advertiser_58,112945.20
76,Advertiser_77,112674.97
2,Advertiser_10,109560.80
24,Advertiser_3,109334.81
47,Advertiser_50,107402.28
87,Advertiser_87,107113.50
83,Advertiser_83,104157.78
100,Advertiser_99,104013.23
62,Advertiser_64,103510.87
3,Advertiser_100,102959.48
37,Advertiser_41,100824.25
75,Advertiser_76,100261.61
59,Advertiser_61,97584.82
56,Advertiser_59,95305.77
67,Advertiser_69,95199.70
93,Advertiser_92,94974.00
54,Advertiser_57,94262.50
26,Advertiser_31,93497.07
12,Advertiser_19,93268.48
23,Advertiser_29,90176.02
72,Advertiser_73,88462.95
97,Advertiser_96,86672.61
86,Advertiser_86,86640.26
46,Advertiser_5,86094.14
70,Advertiser_71,85663.23
35,Advertiser_4,85002.73
53,Advertiser_56,84161.92
82,Advertiser_82,82723.06
44,Advertiser_48,82357.89
91,Advertiser_90,81297.08
34,Advertiser_39,80132.41
39,Advertiser_43,80091.37
11,Advertiser_18,80075.76
28,Advertiser_33,79831.15
81,Advertiser_81,78115.18
78,Advertiser_79,76188.15
18,Advertiser_24,75902.07
77,Advertiser_78,75342.43
74,Advertiser_75,73957.73
21,Advertiser_27,73809.21
71,Advertiser_72,73523.94
5,Advertiser_12,71039.88
98,Advertiser_97,67336.21
50,Advertiser_53,67175.85
79,Advertiser_8,66020.28
22,Advertiser_28,65724.20
20,Advertiser_26,62835.62
6,Advertiser_13,62614.35
33,Advertiser_38,58931.73
17,Advertiser_23,57147.55
52,Advertiser_55,56662.15
80,Advertiser_80,52619.83
95,Advertiser_94,52577.49
1,Advertiser_1,51663.28
40,Advertiser_44,48751.79
94,Advertiser_93,47702.22
13,Advertiser_2,46776.45
60,Advertiser_62,46664.76
30,Advertiser_35,46150.13
16,Advertiser_22,45155.20
61,Advertiser_63,43868.97
14,Advertiser_20,43403.00
27,Advertiser_32,40457.48
68,Advertiser_7,40287.38


Cost Efficiency: Average CPC and CPM per Campaign
campaign_id,campaign_name,avg_cpc,avg_cpm
1,Campaign_1,48.23,2247.36
2,Campaign_2,44.10,2284.02
3,Campaign_3,40.24,2252.50
4,Campaign_4,48.20,2251.55
6,Campaign_6,43.91,2243.95
7,Campaign_7,45.70,2263.58
9,Campaign_9,52.06,2290.47
10,Campaign_10,46.74,2280.84
11,Campaign_11,42.51,2239.70
13,Campaign_13,43.69,2244.70
15,Campaign_15,46.79,2270.23
16,Campaign_16,46.45,2279.15
17,Campaign_17,41.95,2257.14
18,Campaign_18,48.89,2292.69
19,Campaign_19,44.41,2305.99
20,Campaign_20,43.10,2230.43
21,Campaign_21,48.12,2288.67
22,Campaign_22,49.29,2259.79
24,Campaign_24,49.90,2274.24
25,Campaign_25,42.81,2277.19
27,Campaign_27,43.29,2279.08
29,Campaign_29,45.50,2253.23
30,Campaign_30,59.03,2310.31
31,Campaign_31,44.21,2253.74
32,Campaign_32,46.35,2284.54
33,Campaign_33,49.76,2287.02
34,Campaign_34,42.98,2208.65
35,Campaign_35,47.92,2248.33
36,Campaign_36,44.92,2254.95
37,Campaign_37,43.58,2267.42
38,Campaign_38,46.33,2278.20
39,Campaign_39,42.70,2266.52
40,Campaign_40,46.24,2263.32
41,Campaign_41,43.82,2274.96
43,Campaign_43,46.13,2292.49
44,Campaign_44,45.66,2258.23
45,Campaign_45,43.72,2264.86
46,Campaign_46,43.17,2254.85
47,Campaign_47,41.51,2286.60
48,Campaign_48,38.12,2252.88
49,Campaign_49,47.59,2258.51
50,Campaign_50,47.31,2261.74
51,Campaign_51,44.09,2277.77
52,Campaign_52,47.12,2272.91
53,Campaign_53,45.35,2276.49
55,Campaign_55,40.17,2270.71
56,Campaign_56,40.04,2260.05
57,Campaign_57,41.55,2276.98
59,Campaign_59,48.63,2258.23
60,Campaign_60,46.59,2230.00
61,Campaign_61,44.31,2272.47
63,Campaign_63,44.61,2297.26
64,Campaign_64,47.89,2260.90
65,Campaign_65,48.17,2267.69
66,Campaign_66,46.70,2266.25
67,Campaign_67,46.45,2296.99
69,Campaign_69,48.59,2312.27
70,Campaign_70,44.88,2290.25
71,Campaign_71,47.19,2264.00
72,Campaign_72,48.17,2266.11
73,Campaign_73,51.01,2262.80
74,Campaign_74,44.39,2260.54
75,Campaign_75,47.32,2289.87
77,Campaign_77,46.70,2291.71
78,Campaign_78,46.94,2231.26
79,Campaign_79,45.23,2267.09
80,Campaign_80,46.17,2261.31
81,Campaign_81,45.17,2267.94
82,Campaign_82,48.81,2269.36
83,Campaign_83,51.74,2257.24
84,Campaign_84,43.71,2261.75
85,Campaign_85,47.85,2271.05
86,Campaign_86,43.68,2289.85
87,Campaign_87,48.33,2263.41
89,Campaign_89,48.34,2271.75
90,Campaign_90,51.60,2282.15
91,Campaign_91,50.91,2242.16
92,Campaign_92,44.20,2246.44
93,Campaign_93,46.08,2256.66
96,Campaign_96,47.59,2256.39
97,Campaign_97,49.27,2290.59
98,Campaign_98,47.44,2267.99
99,Campaign_99,44.48,2274.19
100,Campaign_100,45.80,2341.30
101,Campaign_101,49.96,2281.61
102,Campaign_102,47.92,2300.05
103,Campaign_103,47.53,2282.40
104,Campaign_104,47.51,2273.57
105,Campaign_105,43.28,2287.00
106,Campaign_106,50.41,2250.81
107,Campaign_107,50.33,2293.43
108,Campaign_108,46.47,2260.95
110,Campaign_110,40.82,2233.12
111,Campaign_111,46.07,2283.18
112,Campaign_112,43.71,2284.98
114,Campaign_114,46.23,2265.15
116,Campaign_116,46.33,2251.48
117,Campaign_117,41.35,2266.74
119,Campaign_119,46.47,2244.16
122,Campaign_122,31.75,2294.91
123,Campaign_123,44.97,2288.49
125,Campaign_125,40.37,2265.08
126,Campaign_126,48.62,2272.53
127,Campaign_127,50.81,2279.41
128,Campaign_128,42.87,2247.04
129,Campaign_129,44.06,2302.27
130,Campaign_130,44.63,2250.34
131,Campaign_131,48.42,2252.76
132,Campaign_132,45.05,2259.36
133,Campaign_133,44.70,2251.87
134,Campaign_134,46.68,2283.96
135,Campaign_135,47.75,2287.99
136,Campaign_136,45.90,2266.77
137,Campaign_137,46.42,2277.09
138,Campaign_138,49.13,2257.30
139,Campaign_139,50.66,2301.23
140,Campaign_140,44.23,2279.94
141,Campaign_141,45.25,2263.52
142,Campaign_142,48.22,2268.77
143,Campaign_143,43.27,2281.49
144,Campaign_144,50.44,2271.89
145,Campaign_145,47.02,2255.63
146,Campaign_146,45.57,2274.46
147,Campaign_147,42.26,2265.52
148,Campaign_148,43.22,2259.38
149,Campaign_149,40.01,2269.11
150,Campaign_150,44.80,2256.53
151,Campaign_151,42.36,2267.42
152,Campaign_152,41.49,2272.41
153,Campaign_153,49.74,2259.39
154,Campaign_154,46.83,2243.93
155,Campaign_155,42.09,2295.32
156,Campaign_156,42.01,2293.58
157,Campaign_157,43.21,2277.53
158,Campaign_158,40.66,2264.05
159,Campaign_159,48.60,2273.15
160,Campaign_160,48.39,2274.91
161,Campaign_161,44.75,2257.63
163,Campaign_163,46.17,2276.80
164,Campaign_164,48.35,2255.27
165,Campaign_165,45.11,2273.62
166,Campaign_166,43.76,2247.03
167,Campaign_167,48.13,2271.67
168,Campaign_168,47.17,2273.46
169,Campaign_169,45.89,2274.56
170,Campaign_170,44.50,2258.81
172,Campaign_172,48.94,2276.87
173,Campaign_173,45.88,2279.34
174,Campaign_174,44.41,2297.76
175,Campaign_175,46.54,2261.31
176,Campaign_176,45.77,2271.04
177,Campaign_177,36.56,2255.89
178,Campaign_178,44.77,2334.14
179,Campaign_179,44.52,2291.18
180,Campaign_180,39.83,2253.31
182,Campaign_182,41.73,2294.11
183,Campaign_183,43.23,2263.02
184,Campaign_184,49.62,2268.29
185,Campaign_185,42.57,2250.42
186,Campaign_186,43.13,2263.23
187,Campaign_187,43.39,2259.16
188,Campaign_188,46.32,2277.50
190,Campaign_190,51.06,2280.83
192,Campaign_192,38.57,2268.74
193,Campaign_193,46.10,2272.37
194,Campaign_194,50.16,2249.58
195,Campaign_195,46.69,2272.01
196,Campaign_196,47.56,2278.07
197,Campaign_197,49.75,2279.86
199,Campaign_199,44.35,2241.85
200,Campaign_200,43.28,2265.10
201,Campaign_201,48.52,2259.33
202,Campaign_202,46.69,2266.09
203,Campaign_203,43.51,2284.88
204,Campaign_204,42.32,2268.04
205,Campaign_205,43.53,2274.72
206,Campaign_206,45.81,2282.14
207,Campaign_207,43.80,2261.17
208,Campaign_208,43.08,2218.85
209,Campaign_209,44.91,2270.23
210,Campaign_210,43.08,2297.38
211,Campaign_211,45.90,2276.50
212,Campaign_212,46.90,2245.29
216,Campaign_216,44.96,2286.19
217,Campaign_217,43.79,2291.95
219,Campaign_219,52.11,2275.06
220,Campaign_220,49.02,2262.75
221,Campaign_221,47.72,2257.13
223,Campaign_223,45.26,2268.89
224,Campaign_224,45.72,2274.18
225,Campaign_225,41.03,2269.20
226,Campaign_226,44.89,2272.28
227,Campaign_227,45.44,2287.32
228,Campaign_228,50.00,2259.96
229,Campaign_229,49.14,2244.36
230,Campaign_230,45.25,2282.76
232,Campaign_232,39.90,2291.89
233,Campaign_233,44.03,2298.82
234,Campaign_234,41.64,2266.04
235,Campaign_235,46.33,2271.52
236,Campaign_236,43.74,2268.51
237,Campaign_237,44.24,2259.43
